Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
Startup_1,Blockchain,8,1335165853,6621448042,50,Germany,2012,77.1
Startup_2,SaaS,2,2781498220,8363214104,36,UK,2006,105.52
Startup_3,EdTech,10,3309031930,15482697353,39,Singapore,2016,190.47
Startup_4,Fintech,5,4050196269,12682527892,44,France,2021,9.44
Startup_5,EdTech,9,1645080295,6887965943,48,India,2011,192
Startup_6,EdTech,3,3939088575,11462969525,38,Singapore,2003,26.28
Startup_7,HealthTech,8,1349245128,2490393546,24,India,2017,104.98
Startup_8,Blockchain,7,4128951426,16303568856,24,India,2006,89.13
Startup_9,Blockchain,3,3950045011,9733266249,5,Brazil,2007,57.99
Startup_10,Fintech,10,4865378633,18692791832,31,USA,2000,31.16
Startup_11,HealthTech,7,2797198504,13826645052,17,UK,2019,33.69
Startup_12,E-commerce,2,1726597438,7608269224,19,Canada,2021,199
Startup_13,HealthTech,5,1818562344,4835268340,14,China,2000,105.73
Startup_14,E-commerce,7,1095961480,3965453491,44,Australia,2016,31.95
Startup_15,Blockchain,3,4195481545,13491122379,24,India,2009,99.34
Startup_16,EdTech,6,3098366689,7743384209,32,UK,2008,142.01
Startup_17,SaaS,2,2545210319,11381431784,46,Australia,2010,164.5
Startup_18,Biotech,4,2695914069,11492050840,29,Brazil,2013,25.17
Startup_19,E-commerce,9,3434765566,10200304017,28,Singapore,2021,93.38
Startup_20,SaaS,1,567429029,2805347517,50,UK,2016,115.76
Startup_21,Blockchain,7,3427058576,12358527828,35,Brazil,2001,46.26
Startup_22,SaaS,4,3465387849,5927235280,45,Singapore,2021,107.46
Startup_23,EdTech,9,4566754284,7545805565,7,Singapore,2014,69.76
Startup_24,AI,4,3021729518,5211428908,2,USA,2014,114.99
Startup_25,E-commerce,8,288205121.6,1415080231,22,Germany,2021,176.28
Startup_26,E-commerce,10,3334508350,5015410781,1,Brazil,2017,154.84
Startup_27,Biotech,2,4166499163,16357699018,22,Germany,2002,82.81
Startup_28,EdTech,5,440011615.2,1565465840,9,China,2013,146.55
Startup_29,E-commerce,3,3256022295,8096886148,48,USA,2010,99.75
Startup_30,SaaS,5,3026419469,6802919454,13,Brazil,2005,47.37
Startup_31,AI,9,4705042825,17203808327,35,Germany,2002,87.95
Startup_32,E-commerce,1,4294449811,20891484639,8,China,2019,91.51
Startup_33,AI,7,2867170174,6499884836,27,Germany,2019,83.3
Startup_34,EdTech,9,4374659520,6662238863,2,France,2016,196.58
Startup_35,Blockchain,6,3777513647,15234607026,12,Australia,2003,186.59
Startup_36,Blockchain,3,3647514987,5586375045,18,Australia,2014,13.16
Startup_37,AI,10,4411234805,11691080168,50,Canada,2011,147.11
Startup_38,Fintech,6,2725867166,4089854369,19,USA,2022,187.72
Startup_39,HealthTech,5,4790851852,22981467972,20,USA,2001,33.71
Startup_40,AI,1,2751786275,8856652982,14,India,2005,97.9
Startup_41,AI,5,3972168776,18893051080,49,Canada,2016,104.99
Startup_42,EdTech,9,1036222597,3964715622,25,Australia,2016,110.52
Startup_43,E-commerce,5,1638827483,3545351528,38,Brazil,2017,167.34
Startup_44,SaaS,5,2767906479,11784319878,17,USA,2005,153.61
Startup_45,E-commerce,7,3480520969,13041915912,30,France,2010,125.65
Startup_46,AI,5,3254439463,7876334439,20,Australia,2016,147.04
Startup_47,Blockchain,6,4032615160,20078014719,38,France,2000,48.73
Startup_48,E-commerce,2,475269528.1,2223977128,49,Germany,2012,48.13
Startup_49,Biotech,2,4897855434,8005010524,16,France,2011,122.39
Startup_50,HealthTech,10,1979604878,8694160541,4,UK,2013,12.64
Startup_51,Blockchain,4,2876153119,5826669174,18,Australia,2001,138.19
